source_block,target_block,total_weight,num_edges,sbm_type
56,142,0.19671959694837868,21,flat_exponential
56,18,214.18979042393605,50,flat_exponential
56,65,11.93333601108759,23,flat_exponential
56,37,96.04438906379343,73,flat_exponential
56,13,151.7251237095706,63,flat_exponential
56,12,228.87661670552228,80,flat_exponential
56,199,1.7127793399590674,16,flat_exponential
56,31,0.49767095314466864,18,flat_exponential
56,86,12.92963856871593,31,flat_exponential
56,133,183.4768482281301,48,flat_exponential
56,145,92.30856784082097,48,flat_exponential
56,34,2.3657388125368444,9,flat_exponential
56,113,0.3337164908915513,15,flat_exponential
145,48,7.587227087926139,33,flat_exponential
145,201,49.15227498435431,41,flat_exponential
145,199,0.37022749676739586,13,flat_exponential
145,184,190.69478058926882,49,flat_exponential
145,160,413.08245996773906,82,flat_exponential
145,49,519.8494152123783,89,flat_exponential
145,37,22.840368863515963,42,flat_exponential
145,56,111.83154228045281,53,flat_exponential
145,128,23.436451344497314,45,flat_exponential
145,21,23.69561759974495,40,flat_exponential
145,205,7.173514724169053,24,flat_exponential
145,18,158.76289981232358,47,flat_exponential
145,86,17.065423598545888,23,flat_exponential
145,65,4.282864846752293,17,flat_exponential
145,84,23.657360217653665,49,flat_exponential
145,13,114.09697864828186,52,flat_exponential
145,12,159.18062128369675,70,flat_exponential
145,113,0.8218594647186727,14,flat_exponential
145,142,7.342962062483937,20,flat_exponential
145,31,10.200074262209466,15,flat_exponential
145,133,122.85141222652658,42,flat_exponential
145,145,67.38507228388775,37,flat_exponential
145,58,10.5240448200694,15,flat_exponential
184,142,0.7589304208253739,40,flat_exponential
184,86,38.771304549522284,44,flat_exponential
184,184,307.28293428480737,42,flat_exponential
184,21,141.6756245170516,48,flat_exponential
184,56,151.66565602989238,56,flat_exponential
184,199,0.3069826900504943,18,flat_exponential
184,49,747.5660829593519,91,flat_exponential
184,205,10.276975216237746,39,flat_exponential
184,58,3.9083448018630067,28,flat_exponential
184,160,505.31734565795307,84,flat_exponential
184,128,102.13835156420282,74,flat_exponential
184,201,177.22723970138296,55,flat_exponential
184,84,130.57568073011714,80,flat_exponential
184,18,239.55866781611863,49,flat_exponential
184,37,92.48766818258743,71,flat_exponential
184,65,20.54283269488345,31,flat_exponential
184,113,7.629037766418155,31,flat_exponential
184,48,93.74141045487843,51,flat_exponential
184,13,194.23468385075003,56,flat_exponential
184,34,24.069790021868215,23,flat_exponential
184,12,419.8829750032128,69,flat_exponential
184,31,5.271442476322434,32,flat_exponential
184,145,156.51306714548988,45,flat_exponential
184,133,289.06845135095483,42,flat_exponential
37,84,107.78718222700866,111,flat_exponential
37,56,136.0624669746359,82,flat_exponential
37,18,255.56084631802455,71,flat_exponential
37,49,653.1075588384472,131,flat_exponential
37,184,169.77101664027495,67,flat_exponential
37,128,4.836013388287274,40,flat_exponential
37,205,13.242595934027838,52,flat_exponential
37,160,443.46777899153494,123,flat_exponential
37,86,9.364307147347184,42,flat_exponential
37,58,1.9506218201464434,28,flat_exponential
37,201,37.780877798793036,50,flat_exponential
37,37,233.04216854632745,99,flat_exponential
37,13,50.35565103467837,69,flat_exponential
37,12,114.49353711536178,94,flat_exponential
37,142,2.6641698174110147,32,flat_exponential
37,199,2.955495475644465,25,flat_exponential
37,145,46.43289630713819,44,flat_exponential
37,31,3.731843973389857,18,flat_exponential
37,48,4.445695652278452,25,flat_exponential
