country_name,level_0_block_id,level_1_block_id,level_2_block_id,level_3_block_id,level_4_block_id,level_5_block_id,level_6_block_id,level_7_block_id,level_8_block_id
Cameroon,33,5,0,0,0,0,0,0,0
Guyana,164,5,0,0,0,0,0,0,0
"Tajikistan, Republic of",116,5,0,0,0,0,0,0,0
Syrian Arab Republic,116,2,0,0,0,0,0,0,0
Kiribati,189,2,0,0,0,0,0,0,0
Nicaragua,164,5,0,0,0,0,0,0,0
Singapore,196,0,0,0,0,0,0,0,0
"Armenia, Republic of",48,5,0,0,0,0,0,0,0
Togo,33,5,0,0,0,0,0,0,0
Taiwan Province of China,196,0,0,0,0,0,0,0,0
